time;x;y;z;t_1-T_n-1;a_tot;;;
1,42764E+18;-0,0575;0,6806;10,2250;62069760;10,24782095;;;
1,42764E+18;-0,0413;0,6973;10,2454;63810048;10,26917348;;;
1,42764E+18;-0,0527;0,6800;10,2442;51699968;10,26686611;;;
1,42764E+18;-0,0611;0,6937;10,1945;65520128;10,21826839;;;
1,42764E+18;-0,0353;0,6895;10,2382;59330048;10,26145898;;;
1,42764E+18;-0,0724;0,7219;10,2095;57859840;10,23521837;;;
1,42764E+18;-0,0413;0,6937;10,2244;71379968;10,24802936;;;
1,42764E+18;-0,0317;0,6877;10,2238;73820160;10,24699416;;;
1,42764E+18;-0,0515;0,6800;10,2214;74249984;10,24416637;;;
1,42764E+18;-0,0371;0,6955;10,2490;71660032;10,27261844;;;
1,42764E+18;-0,0401;0,6979;10,2185;80290048;10,24233604;;;
1,42764E+18;-0,0640;0,7015;10,2472;61089792;10,27136627;;;
1,42764E+18;-0,0419;0,6704;10,2717;74680064;10,29366184;;;
1,42764E+18;-0,0329;0,6859;10,2053;61250048;10,22836437;;;
1,42764E+18;-0,0437;0,6973;10,2454;64000000;10,26918338;;;
1,42764E+18;-0,0539;0,6782;10,2340;48849920;10,25660093;;;
1,42764E+18;-0,0640;0,6913;10,2304;60580096;10,25395573;;;
1,42764E+18;-0,0491;0,6823;10,2328;61220096;10,25566045;;;
1,42764E+18;-0,0634;0,7135;10,2226;49769984;10,24770695;;;
1,42764E+18;-0,0503;0,6961;10,2226;49839872;10,24644;;;
1,42764E+18;-0,0569;0,6973;10,2167;60300032;10,24058479;;;
1,42764E+18;-0,0497;0,7015;10,2316;61710080;10,25576132;;;
1,42764E+18;-0,0473;0,6919;10,2268;49009920;10,25032136;;;
1,42764E+18;-0,0329;0,6847;10,2214;61769984;10,24440888;;;
1,42764E+18;-0,0449;0,6853;10,2466;48790016;10,26957694;;;
1,42764E+18;-0,0395;0,6991;10,2191;61619968;10,24301295;;;
1,42764E+18;-0,0527;0,6782;10,2101;48859904;10,23270555;;;
1,42764E+18;-0,0395;0,6794;10,2394;84260096;10,2619899;;;
1,42764E+18;-0,0533;0,6812;10,2466;58470144;10,26933824;;;
1,42764E+18;-0,0485;0,6680;10,2286;70799872;10,2505308;;;
1,42764E+18;-0,0323;0,6949;10,1718;69819904;10,19552735;;;
1,42764E+18;-0,0371;0,6817;10,2382;62110208;10,26094539;;;
1,42764E+18;-0,0599;0,7027;10,2382;47759872;10,26246603;;;
1,42764E+18;-0,0527;0,6955;10,2400;93560064;10,26372919;;;
1,42764E+18;-0,0479;0,6847;10,2268;62139904;10,2498418;;;
1,42764E+18;-0,0431;0,6865;10,2244;81880064;10,24755305;;;
1,42764E+18;-0,0521;0,6806;10,2119;71160064;10,23465343;;;
1,42764E+18;-0,0521;0,6889;10,2544;81389824;10,27761453;;;
1,42764E+18;-0,0557;0,6788;10,2274;71510016;10,25008066;;;
1,42764E+18;-0,0431;0,6835;10,2155;61340160;10,23839409;;;
1,42764E+18;-0,0467;0,6722;10,2232;68199936;10,245421;;;
1,42764E+18;-0,0515;0,6955;10,2274;59360000;10,2511822;;;
1,42764E+18;-0,0365;0,7003;10,2376;60430080;10,26159517;;;
1,42764E+18;-0,0509;0,6925;10,2394;129659904;10,26292013;;;
1,42764E+18;-0,0617;0,6883;10,2286;112000000;10,25194781;;;
1,42764E+18;-0,0347;0,6871;10,2179;117250048;10,24099173;;;
1,42764E+18;-0,0706;0,6937;10,2430;125550080;10,26670061;;;
1,42764E+18;-0,0317;0,6698;10,2065;335360000;10,22848394;;;
1,42764E+18;-0,0485;0,6841;10,2161;109339904;10,23905581;;;
1,42764E+18;-0,0611;0,6859;10,2083;335909888;10,23147981;;;
1,42764E+18;-0,0664;0,6800;10,2185;100430080;10,24126515;;;
1,42764E+18;-0,0281;0,6907;10,2364;60189952;10,25972537;;;
1,42764E+18;-0,0581;0,6997;10,1897;97900032;10,21388237;;;
1,42764E+18;-0,0515;0,6788;10,2268;58560000;10,24946108;;;
1,42764E+18;-0,0431;0,6806;10,2478;62010112;10,27044517;;;
1,42764E+18;-0,0539;0,6841;10,2795;73729792;10,30238694;;;
1,42764E+18;-0,0263;0,6710;10,2460;62170112;10,26796621;;;
1,42764E+18;-0,0658;0,6913;10,2562;60480000;10,27964616;;;
1,42764E+18;-0,0269;0,6955;10,2490;62040064;10,27258672;;;
1,42764E+18;-0,0401;0,6847;10,2202;61920000;10,24323917;;;
1,42764E+18;-0,0658;0,6806;10,2029;49009920;10,22577381;;;
1,42764E+18;-0,0162;0,6961;10,2274;61280000;10,25110632;;;
1,42764E+18;-0,0467;0,6752;10,2298;61280000;10,25218742;;;
1,42764E+18;-0,0563;0,6776;10,2280;60700160;10,25060141;;;
1,42764E+18;-0,0425;0,6758;10,2316;49529856;10,25400071;;;
1,42764E+18;-0,0491;0,6919;10,2430;61649920;10,26645381;;;
1,42764E+18;-0,0329;0,6877;10,2352;49100032;10,25834426;;;
1,42764E+18;-0,0461;0,6782;10,2191;61129984;10,24163196;;;
1,42764E+18;-0,0694;0,6943;10,2442;49680128;10,26792714;;;
1,42764E+18;-0,0443;0,6871;10,2238;71960064;10,24700063;;;
1,42764E+18;-0,0503;0,6949;10,2340;69059840;10,25770445;;;
1,42764E+18;-0,0521;0,6871;10,2448;50020096;10,26793889;;;
1,42764E+18;-0,0581;0,6806;10,1945;61859840;10,2173654;;;
1,42764E+18;-0,0419;0,7009;10,2101;61430016;10,23418831;;;
1,42764E+18;-0,0533;0,6829;10,2095;48979968;10,23243045;;;
1,42764E+18;-0,0323;0,6817;10,2382;61710080;10,26092919;;;
1,42764E+18;-0,0485;0,6901;10,2167;48700160;10,24005511;;;
1,42764E+18;-0,0599;0,7129;10,2340;73519872;10,25898798;;;
1,42764E+18;-0,0509;0,6931;10,2149;60519936;10,23847701;;;
1,42764E+18;-0,0539;0,6889;10,2304;61550080;10,25373609;;;
1,42764E+18;-0,0491;0,6931;10,2029;61280000;10,22652388;;;
1,42764E+18;-0,0694;0,6979;10,2053;52059904;10,22935681;;;
1,42764E+18;-0,0539;0,6931;10,2436;63390208;10,26715619;;;
1,42764E+18;-0,0557;0,6746;10,2173;75929856;10,23965129;;;
1,42764E+18;-0,0473;0,6961;10,2370;61280000;10,26075745;;;
1,42764E+18;-0,0551;0,6847;10,2101;50200064;10,23315661;;;
1,42764E+18;-0,0455;0,6776;10,2286;60699904;10,25114562;;;
1,42764E+18;-0,0563;0,6704;10,2280;60570112;10,25012914;;;
1,42764E+18;-0,0533;0,6871;10,2550;54809856;10,27809811;;;
1,42764E+18;-0,0509;0,6925;10,2436;87380224;10,26710053;;;
1,42764E+18;-0,0515;0,6883;10,2292;98689792;10,25248931;;;
1,42764E+18;-0,0371;0,6919;10,2059;62040064;10,22937849;;;
1,42764E+18;-0,0509;0,7039;10,2149;49779968;10,23921202;;;
1,42764E+18;-0,0628;0,6829;10,2244;132019968;10,24741518;;;
1,42764E+18;-0,0407;0,6997;10,2095;64080128;10,23350497;;;
1,42764E+18;-0,0503;0,6662;10,2226;62169856;10,24445032;;;
1,42764E+18;-0,0652;0,6841;10,2292;48610048;10,25228722;;;
1,42764E+18;-0,0467;0,6859;10,2388;61070080;10,26186138;;;
1,42764E+18;-0,0473;0,6901;10,2280;49710080;10,25139457;;;
1,42764E+18;-0,0521;0,6907;10,2538;61129984;10,27713741;;;
1,42764E+18;-0,0575;0,6800;10,2065;61059840;10,22926747;;;
1,42764E+18;-0,0497;0,6746;10,2214;62200064;10,24380135;;;
1,42764E+18;-0,0377;0,6734;10,2358;47180032;10,2580054;;;
1,42764E+18;-0,0437;0,6889;10,2406;60760064;10,26384061;;;
1,42764E+18;-0,0467;0,6680;10,2364;62189824;10,25828686;;;
1,42764E+18;-0,0563;0,6931;10,2394;48890112;10,26298866;;;
1,42764E+18;-0,0539;0,6931;10,2256;61710080;10,24924147;;;
1,42764E+18;-0,0521;0,6871;10,2226;60669952;10,24584293;;;
1,42764E+18;-0,0581;0,7081;10,2214;67779840;10,24610725;;;
1,42764E+18;-0,0443;0,6794;10,2256;61310208;10,24827382;;;
1,42764E+18;-0,0180;0,7039;10,2113;49739776;10,23551787;;;
1,42764E+18;-0,0557;0,6901;10,2250;60329984;10,24845148;;;
1,42764E+18;-0,0395;0,6979;10,2364;60430080;10,26024892;;;
1,42764E+18;-0,0413;0,6901;10,2669;48950016;10,29018646;;;
1,42764E+18;-0,0329;0,6877;10,2436;60359936;10,26670538;;;
1,42764E+18;-0,0395;0,6871;10,2185;49720064;10,24160523;;;
1,42764E+18;-0,0425;0,7003;10,2041;61340160;10,2281779;;;
1,42764E+18;-0,0515;0,6817;10,2089;58619904;10,23174376;;;
1,42764E+18;-0,0329;0,7015;10,1927;57400064;10,21688049;;;
1,42764E+18;-0,0455;0,6997;10,1891;75929856;10,21322206;;;
1,42764E+18;-0,0473;0,6871;10,2334;48550144;10,25656937;;;
1,42764E+18;-0,0467;0,7087;10,2442;62109952;10,26877992;;;
1,42764E+18;-0,0371;0,6925;10,2017;49740032;10,22523963;;;
1,42764E+18;-0,0587;0,6901;10,1993;61219840;10,22278917;;;
1,42764E+18;-0,0473;0,6865;10,2173;58500096;10,24040476;;;
1,42764E+18;-0,0437;0,6853;10,2113;57530112;10,2343361;;;
1,42764E+18;-0,0413;0,6865;10,2083;58869760;10,23142116;;;
1,42764E+18;-0,0419;0,6817;10,2352;48670208;10,25797747;;;
1,42764E+18;-0,0563;0,7051;10,2526;61100032;10,27694082;;;
1,42764E+18;-0,0377;0,7015;10,2280;50229760;10,25212675;;;
1,42764E+18;-0,0509;0,6794;10,2340;59630080;10,25666487;;;
1,42764E+18;-0,0425;0,6901;10,2340;61309952;10,25734598;;;
1,42764E+18;-0,0509;0,7171;10,2592;49380096;10,28430888;;;
1,42764E+18;-0,0682;0,6919;10,2538;60730112;10,27731253;;;
1,42764E+18;-0,0706;0,6812;10,2131;49649920;10,2359988;;;
1,42764E+18;-0,0461;0,6800;10,2681;61129984;10,29072375;;;
1,42764E+18;-0,0682;0,7039;10,2645;61219840;10,28887492;;;
1,42764E+18;-0,0515;0,6847;10,2340;48850176;10,25702608;;;
1,42764E+18;-0,0443;0,6794;10,2502;60369920;10,27275974;;;
1,42764E+18;-0,0599;0,6734;10,2454;61400064;10,26766692;;;
1,42764E+18;-0,0503;0,6889;10,2340;48859904;10,25730069;;;
1,42764E+18;-0,0419;0,6835;10,2202;61830144;10,2431664;;;
1,42764E+18;-0,0509;0,6680;10,2095;49740032;10,23143043;;;
1,42764E+18;-0,0347;0,6859;10,2292;75099904;10,2522584;;;
1,42764E+18;-0,0419;0,6973;10,2328;61920000;10,25663505;;;
1,42764E+18;-0,0449;0,6889;10,2250;48770048;10,24831808;;;
1,42764E+18;-0,0551;0,6925;10,2472;61189888;10,27070492;;;
1,42764E+18;-0,0413;0,6823;10,2197;60760064;10,24248749;;;
1,42764E+18;-0,0359;0,6782;10,2400;48889856;10,26249521;;;
1,42764E+18;-0,0425;0,6829;10,2197;61310208;10,24253227;;;
1,42764E+18;-0,0347;0,7015;10,2286;49039872;10,25271377;;;
1,42764E+18;-0,0437;0,6895;10,2472;60359936;10,27044889;;;
1,42764E+18;-0,0359;0,6704;10,2071;61590016;10,22913471;;;
1,42764E+18;-0,0682;0,6883;10,2406;61580032;10,26393427;;;
1,42764E+18;-0,0419;0,6865;10,2322;57440000;10,25531155;;;
1,42764E+18;-0,0527;0,6835;10,2496;72050176;10,27248006;;;
1,42764E+18;-0,0563;0,6638;10,2580;49499904;10,27956555;;;
1,42764E+18;-0,0497;0,6925;10,2197;61280000;10,2432076;;;
1,42764E+18;-0,0485;0,7159;10,2490;49339904;10,27406374;;;
1,42764E+18;-0,0658;0,6919;10,1993;62080000;10,22295428;;;
1,42764E+18;-0,0455;0,7117;10,1760;56270080;10,20091336;;;
1,42764E+18;-0,0617;0,6800;10,2466;58840064;10,26930579;;;
1,42764E+18;-0,0521;0,6752;10,1969;58809856;10,21936548;;;
1,42764E+18;-0,0646;0,6746;10,2191;50110208;10,2414951;;;
1,42764E+18;-0,0539;0,6829;10,2244;61179904;10,24736405;;;
1,42764E+18;-0,0449;0,6680;10,2490;61410048;10,27082208;;;
1,42764E+18;-0,0539;0,6961;10,2358;73600000;10,25959568;;;
1,42764E+18;-0,0305;0,6925;10,2071;49049856;10,23059247;;;
1,42764E+18;-0,0575;0,6794;10,2376;61700096;10,2602827;;;
1,42764E+18;-0,0670;0,6794;10,2364;49809920;10,25914646;;;
1,42764E+18;-0,0389;0,6794;10,2280;61250048;10,25063967;;;
1,42764E+18;-0,0628;0,6967;10,2484;48549888;10,27222817;;;
1,42764E+18;-0,0527;0,6859;10,2268;63960064;10,24994533;;;
1,42764E+18;-0,0575;0,7051;10,2448;49720064;10,26918491;;;
1,42764E+18;-0,0485;0,6782;10,2298;61250048;10,25239327;;;
1,42764E+18;-0,0593;0,6883;10,2310;60300032;10,25432325;;;
1,42764E+18;-0,0611;0,6788;10,2382;48669952;10,26086151;;;
1,42764E+18;-0,0599;0,6758;10,2047;61769984;10,2272115;;;
1,42764E+18;-0,0485;0,6859;10,2382;73890048;10,26127206;;;
1,42764E+18;-0,0443;0,6973;10,2262;61699840;10,25007642;;;
1,42764E+18;-0,0515;0,6560;10,1963;53289984;10,21751714;;;
1,42764E+18;-0,0676;0,6925;10,2047;65880064;10,22838105;;;
1,42764E+18;-0,0407;0,7111;10,2286;63569920;10,25339549;;;
1,42764E+18;-0,0347;0,6698;10,2250;58440192;10,2470088;;;
1,42764E+18;-0,0581;0,6865;10,2298;60209920;10,25300073;;;
1,42764E+18;-0,0449;0,6967;10,2562;59569920;10,27989702;;;
1,42764E+18;-0,0299;0,7045;10,2394;65650176;10,2636524;;;
1,42764E+18;-0,0413;0,6973;10,2340;48369920;10,25782685;;;
1,42764E+18;-0,0174;0,6883;10,2705;69849856;10,29358191;;;
1,42764E+18;-0,0449;0,6614;10,2358;53100032;10,25725546;;;
1,42764E+18;-0,0389;0,6692;10,2472;76660224;10,26908341;;;
1,42764E+18;-0,0431;0,6794;10,2208;59149824;10,2434903;;;
1,42764E+18;-0,0652;0,6794;10,2316;62160128;10,25435749;;;
1,42764E+18;-0,0461;0,7063;10,2125;61339904;10,23696494;;;
1,42764E+18;-0,0664;0,6997;10,2298;58469888;10,25394175;;;
1,42764E+18;-0,0599;0,6913;10,2119;64090112;10,23541803;;;
1,42764E+18;-0,0479;0,6907;10,2448;57590016;10,26815946;;;
1,42764E+18;-0,0479;0,6991;10,2095;52179968;10,23349516;;;
1,42764E+18;-0,0593;0,6901;10,2592;64669952;10,28251086;;;
1,42764E+18;-0,0521;0,6626;10,2179;63840000;10,23944798;;;
1,42764E+18;-0,0443;0,6853;10,2185;62200064;10,24150449;;;
1,42764E+18;-0,0311;0,6913;10,2077;61639936;10,23110994;;;
1,42764E+18;-0,0557;0,6883;10,2280;49929984;10,25131592;;;
1,42764E+18;-0,0443;0,6961;10,2633;91090176;10,28701933;;;
1,42764E+18;-0,0652;0,6895;10,2382;69459968;10,26160562;;;
1,42764E+18;-0,0593;0,6907;10,2316;55449856;10,25508087;;;
